web_scraper_order,web_scraper_start_url,title,review,rating,likes,dislikes
"1768461327-49","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Extremely too long for this screenplay","Foreign-language dramas about family turmoil often carry a certain emotional potency, but HAQ feels uniquely conflicted in how it approaches its core subject of divorce. The film isn't terrible by any stretch, yet it's also nowhere near strong enough to justify how narrowly and relentlessly it clings to its single thematic thread. At its best, the movie shows flashes of sincerity, a few compelling moments of human frailty, and a cast that genuinely tries to elevate the material. But at its worst, it becomes a long, slow meditation on one idea-divorce-and never expands beyond that, leaving the audience with a sense of emotional repetition instead of emotional revelation.

The screenplay is the clearest culprit here. Instead of exploring divorce through layered perspectives, enriched subplots, or even unexpected dramatic pivots, the writing plays out in a straight line. It's competent but never bold, and while the foundation is solid enough, there's no attempt to deepen or evolve the narrative as it unfolds. The script feels like it was written for a very specific audience-almost like a private fable or a cautionary bedtime story-rather than for a general crowd looking for nuance, engagement, or cinematic weight. It's ""okay,"" but ""okay"" hardly sustains a feature-length film when the emotional toolbox is this limited.

The direction mirrors those same limitations. For a story dealing with heartbreak, separation, and emotional reconstruction, the visuals and pacing feel surprisingly muted. Cinematic moments that should land with resonance instead drift by without emphasis, as if the director never fully committed to shaping an emotional arc. There are scenes that clearly should have held more weight, yet they appear in the final cut feeling flat or unfinished, depriving the audience of the impact the subject matter deserves. With better staging and a more dynamic approach, many of the film's quieter moments could have felt profound instead of simply slow.

Still, HAQ isn't without strengths. The costumes are genuinely impressive, adding a sense of cultural vibrancy and texture that the screenplay fails to deliver. And the cast delivers earnest, grounded performances that often make the characters more compelling than the writing gives them permission to be. Their work is the main reason the movie remains watchable at all; without them, the film's thinner moments would collapse entirely.

Ultimately, HAQ lands somewhere in the middle-too competent to dismiss, too limited to praise. It's one of those films you can sit through once and appreciate for its effort and craft, but it gives you absolutely no incentive to revisit it. With a stronger script and more imaginative direction, it could have been something resonant and culturally rich. Instead, it settles for being a long, modestly effective meditation on divorce that never quite reaches the emotional heights it aims for.","2","2","5"
"1768461327-50","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","A Powerful Reflection on Marriage, Ego, and Equality","Based on true events and an iconic chapter from Indian history (The Shah Bano Case), Haq addresses an important and often overlooked topic - marriage, divorce, and alimony.

Without getting into the political or religious intricacies, I'd like to talk about it purely from a film and story perspective.

A happy marriage comes crashing down due to promises disguised as good deeds and obligations - reflecting the role of a woman who is seen only as a mother and caretaker, without having a say in decisions that are equally important for her own life and family.

As the drama unfolds, the unfortunate situation worsens, showcasing how a man takes his wife's feelings into no consideration, fails to acknowledge his own wrongdoings because of his ego, and refuses to apologise.

Instead, he looks at himself as superior and claims her to be in the wrong, justifying his actions as favours or good deeds.

What follows is a battle of egos and dignity, with every decision further escalating the drama at each step.

The film also reflects on society's outlook - one that deems such situations normal, views marriage as a contract, divorce as taboo, and rarely stands by a woman during her toughest times.

It highlights how often a woman is deemed the culprit, without considering the emotional and personal toll it takes on her. Yet, the strength and resilience she carries forward is truly admirable.

A deeply emotional and inspiring watch, Haq is a story carried beautifully by strong writing, powerful dialogues, and a gripping screenplay - complemented by equally impactful performances.

Yami Gautam, in particular, delivers a standout act that makes you feel and connect not just with her struggle and personal journey, but with every woman who has ever faced such injustice.

And as mentioned earlier, keeping all religious and political sentiments aside, Haq serves as a reminder of a sad reality that continues to be neglected - one where a woman's perspective is often unheard or overlooked.","9","2","1"
"1768461327-51","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Seedhi baat, no bakwaas ! What a movie !!!!","Perfect film !! Acting, dialogues, cast, direction, all on the point. Neither less nor more. A completely balanced movie. I always liked Yami Gautam, but here I really loved her. Emaraan Hashmi , as always, very fine actor. And whoever wrote the dialogues, beautiful :)
Its a must watch family moive in the times where OTT is filled with nudity and vulgarity. Thanks to the makers.","10","2","1"
"1768461327-52","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","A Moving Portrayal of Strength","Haq tells a story of strength without shouting about it. Yami Gautam embodies resilience with such grace that you can't look away. Her expressions hold a world of meaning, her silence speaks louder than dialogue. Emraan Hashmi's performance is honest and grounded, giving the story its emotional balance. The pacing allows the emotion to build naturally. It's a deeply moving piece of cinema that celebrates courage in its purest form.","10","2","1"
"1768461327-53","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","A Film That Demands Reflection","Few films today make you stop and think long after they end. Haq does exactly that. It raises questions about faith, justice, and humanity without ever feeling preachy. Yami Gautam is extraordinary, her performance full of quiet power. Emraan Hashmi delivers an emotionally intelligent performance, restrained yet resonant. The writing is sensitive and beautifully layered. It's not just a film you watch, it's one you carry with you.","10","2","1"
"1768461327-54","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Raw Emotion, Refined Storytelling","What makes Haq stand out is its ability to express pain and hope without exaggeration. Yami Gautam embodies courage with such restraint that you can't help but admire her craft. Emraan Hashmi complements her beautifully, his presence calm yet commanding. The writing is sharp but gentle, and the visuals never distract from the truth. This is refined filmmaking that reaches straight to the heart.","10","2","1"
"1768461327-55","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Deeply Human and Unforgettable","What struck me most about Haq was how human it felt. Every character has flaws, yet they all have dignity. Yami Gautam's portrayal of Shazia is breathtaking, full of pain, faith, and courage. Emraan Hashmi's understated performance balances hers perfectly. The direction never forces emotion, it allows it to rise naturally. This is cinema made for the soul, not just the screen.","10","2","1"
"1768461327-56","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Same emotional drama in court room","This highlights a common issue in Bollywood films: emotional drama often replaces solid arguments and evidence in courtroom scenes. While the first part of the movie is engaging, this dramatic approach is unrealistic and wouldn't hold up in real-life legal proceedings. Real courts demand facts only.","1","3","10"
"1768461327-57","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Haq - A Must-Watch Blend of Story and Soul","Haq is a powerful and emotionally rich film that grips you from the very first scene. The story is beautifully written and deeply engaging, blending emotion, realism, and purpose.

Yami Gautam and Emraan Hashmi both deliver outstanding performances. Yami brings intensity and sincerity to her role, while Emraan adds depth and quiet strength - together, they create an unforgettable on-screen presence. Their performances complement the story perfectly, making every moment feel genuine and impactful.

Haq is more than just a movie - it's an experience that stays with you long after it ends. A must-watch for its story, direction, and phenomenal acting.","9","2","1"
"1768461327-58","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Amazing Movie - Haq!","Amazing movie - Haq! Emraan Hashmi's Acting is amazing and Yami Gautam's acting is amazing too! Emraan Hashmi as always has brilliantly portrayed the role, high professionalism, amazing look, dialogue-delivery, brilliant portrayal of movie-character. Amazing songs, amazing story-line! It is a Must-watch Movie!","10","2","1"
"1768461327-59","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Nice movie","Emotion That Stays Long After
Long after Haq ends, its emotions remain. Yami Gautam gives a career-defining performance, full of subtlety and strength. Her presence dominates the film, yet never overshadows its message. Emraan Hashmi is excellent, bringing depth and humanity to a complex role. The storytelling feels honest and unforced, the kind that seeps into your heart quietly. It's a film you'll think about days later, and that's the mark of something truly special.","10","2","1"
"1768461327-60","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Real Emotions, Real Impact","There's an honesty in Haq that cuts deep. The film doesn't rely on big moments, it thrives on small, truthful ones. Yami Gautam brings depth and vulnerability to her character in a way that feels incredibly raw. Emraan Hashmi matches that honesty, his restraint making every word matter. The cinematography captures emotion with quiet elegance. It's rare to find a film that speaks softly yet leaves such a strong impact.","10","2","1"
"1768461327-61","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","I Am Emotionally Moved","Just wow. This film moved me deeply. It beautifully explains unconstitutional Muslim laws and boldly exposes communal hypocrisy. The storytelling is impactful and thought-provoking. Special appreciation to Yami Gautam and Emraan Hashmi for their powerful performances - both portrayed their roles with honesty and conviction. A brave and meaningful film that stays with you.","10","1","0"
"1768461327-62","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","The movie made me speechless","This movie addresses a deeply complicated issue, portraying the injustice Muslim women faced through 'triple talaq' -a controversial practice often attributed to historical misinterpretations of the law. As a Muslim man, imagining myself in Shazia Bano's position, I Couldn't stop my tears. The film poignantly depicts the plight of women in 1980s India. When the Supreme Court judges finally delivered their verdict, I literally got goosebumps. The storytelling is exceptional, and Emraan Hashmi and Yami Gautam perfectly nailed their characters.","8","1","0"
"1768461327-63","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Good idea ..bad execution","Haq is often mistaken as being inspired by the Shah Bano case-but that assumption is completely wrong. This is not Shah Bano's story. The film follows a different premise altogether, and unfortunately, it fails to justify its own narrative.

The biggest issue is the lack of emotional depth. There is no soul in the drama, no intensity in the conflicts. Everything feels staged and artificial. Instead of realism, the film overloads itself with songs in almost every situation, which only weakens the impact of serious moments.

The detailing is careless. Even the Nikah scene is inaccurately shown, breaking cultural authenticity and exposing weak research. Polygamy is a lived reality for many, filled with emotional complexity, but the film never captures that pain or tension.

The idea itself is relevant, but execution is poor. Direction feels weak and emotionally disconnected, as if the filmmaker never truly felt the story from within. A potentially powerful subject ends up as a shallow, poorly crafted film.

Haq is not a bad idea-it is a badly made film.","1","5","33"
"1768461327-64","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Haq is a strong and important movie, and I highly recommend it.","Shazia Bano, played by Yami Gautam, marries Abbas Khan, Emraan Hashmi. They have a happy marriage, two children and a third on the way. Then Abbas grows distant and suddenly leaves for Pakistan. When he returns three months later, he brings back a second wife for Shazia. Shocked and angry at first, Shazia slowly forces herself to accept that Abbas is now married to two women.

Everything changes when the second wife, Saira, played by Vartika Singh, reveals that Abbas was already in a relationship before marrying Shazia. When Shazia confronts him about the lies that brought Saira into their home, Abbas responds by divorcing her on the spot. Shazia refuses to accept this and decides to fight back.

Supported by her father, Shazia takes the matter to court to defend her rights as a wife and her children's right to support. Her biggest obstacle is Abbas himself. He is a trained lawyer who knows the system and the men who control it. The more Shazia commits to the case, the deeper she sinks. Like standing in quicksand, every step forward makes it harder to escape. She begins to doubt herself. The Muslim community turns against her family, support from relatives disappears and the situation becomes darker and more dangerous for both her and her children.

Haq is not a typical film about a woman fighting for her rights. It is about religion, power and living in a community that fails its own people. It challenges traditions and rules created and protected by men. The soundtrack is spot on and knows exactly when to lift the emotion and when to step back and let scenes breathe. The acting is phenomenal. I have always liked Emraan Hashmi as an actor and he delivers here. Still, this is Yami Gautam's film. She carries the story completely, moving through anger, fear, strength and despair with impressive control.

I do have a few minor notes. As a Hindu, I did not always fully understand the Muslim customs and religious aspects that are closely tied to the case. Some of those conversations moved too fast for me to fully grasp their weight. That said, it did not affect my rating. Sadly, my sister went through a very similar legal battle a decade ago while fighting for her three children. We even lost our father during that time. Watching this brought back memories, but it only reinforced how honest this film feels.","8","1","0"
"1768461327-65","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","A Deeply Moving Story of Faith, Rights, and Resilience !!!","'Haq' tells an extremely relevant story, one that feels urgent and necessary. Inspired by true events, the film is a fictionalized and dramatized version of the story stated in the book Bano: Bharat Ki Beti, written by Jigna Vora. The film is an emotionally charged retelling of the historic Shah Bano case that shook India in the 1980s, and it traces the controversial maintenance lawsuit where the Supreme Court ruled in favour of divorced Muslim women. Suparn S Varma's vision is clear-he wants to remind us that personal stories can often echo profound social truths. The result is a film that feels both urgent and deeply affecting. With Yami Gautam and Emraan Hashmi leading from the front, 'Haq' becomes a rare social drama that manages to stay engaging without ever turning preachy. It's a story crafted with restraint, empathy, and a quiet sense of purpose.

Set in the 70s and 80s, this period film revolves around Shazia Bano (Yami Gautam Dhar), who lives in Aligarh with her husband, Abbas Khan (Emraan Hashmi), a well-respected lawyer. After three children and years of marriage, her life shatters when Abbas returns from Pakistan with his second wife, Saira (Vartika Singh). The humiliation that follows winds up in divorce after Abbas pronounces the three irrevocable words-talaq, talaq, talaq. Struggling to survive with even the bare minimum financial support withdrawn, Shazia approaches the courts for justice, supported strongly by her father, Maulvi Basheer (Danish Husain), who remains steadfast by her side. When the case reaches the Supreme Court, it becomes not only a legal battle but also a moral one that reflects the struggle of countless women across the country. Every scene feels grounded and real, drawing you into Shazia's world of quiet defiance and resilience.

At its core, 'Haq' is a simple story told with sincerity-and that simplicity becomes its biggest triumph. The narrative never overcomplicates itself or resorts to unnecessary drama, unfolding in a linear and honest way. The director anchors the storytelling in emotion, never losing sight of the human cost beneath the legal and ideological battles. Much of the credit goes to Reshu Nath, whose writing-spanning story, dialogue, and screenplay-exudes clarity and cohesion. The film beautifully captures the texture of Western Uttar Pradesh, with dialogues that sound authentic and grounded in the soil. Every frame and line carries intention, resulting in an experience that's both immersive and emotionally resonant.

'Haq' also thrives on its performances. Yami Gautam delivers one of her finest acts yet-she embodies Shazia's pain, courage, and dignity with remarkable control. She dominates every frame, delivering a performance that's understated and unforgettable. Emraan Hashmi matches her beautifully, portraying Abbas with restraint and moral ambiguity instead of overt villainy. His anger is quiet, and that subtlety works. Look for the courtroom exchange toward the climax, where Emraan and Yami's characters face the Supreme Court judges and lay bare their beliefs with raw intensity. Vartika Singh as Saira is pleasant but somewhat underutilized, while Danish Husain as Maulvi Basheer brings compassion to the story. Sheeba Chaddha, as Bela, her steadfast lawyer, adds depth and gravitas to every scene she's in. Together, the ensemble ensures that every emotional note leaves an impact.

It takes courage to make a film like 'Haq' in an era when action spectacles, horror, and comedies dominate the screens. Suparn S Varma directs it with unwavering conviction, turning what could have been a niche courtroom drama into a universal story about justice, faith, and dignity. Vishal Mishra's songs may not linger long after the credits, but they serve the story well and add emotional texture. What truly sets 'Haq' apart is its refusal to confine itself to a community-specific narrative; instead, it emerges as a story of betrayal, resilience, and hope. It stands tall as a film that speaks for the voiceless, upholds its integrity, and reminds us that truth, when expressed with simplicity, can be the most potent form of protest.","9","1","0"
"1768461327-66","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","This is not just a movie but a statement - don't follow things blindly, read and learn - when required stand for right!!","Even when the movie is based on the landmark verdict that was later conveniently changed in the parliament by dynast politics for vote bank, the movie makers clearly cite several disclaimers - Sad to see how many disclaimers have to showcased in our country which talks about freedom of expression!! Some facts are omitted in the name of inspiration or creative liberties which would have been important to the plot of the film. Though possibly not to draw political and fundamentalist attention the film makers kept it straight. The movie is beautiful, how it unfolds and narrates the life of Shah Bano keeps you glued to the screen. The actors are outstanding - Yami deserves a bunch of awards for this. Hashmi proves he is a versatile actor and can do more than liplock. All actors in supporting cast are absolutely convincing. Not to forget - Sheebha Chaddha, another outstanding performance by her. Watch the movie for movie making at its best!!","9","1","0"
"1768461327-67","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","To the Point Movie with best presentation of Islam","Wow, as a Muslim I have never expected an Indian movie this good.

They gave huge respect to Islam and Quran, they told a Human can be wrong sometimes but Quran is always base and is right.

Glad this kind of Film is introduced to many Indians.

Hoping for many people to get better knowledge about Islam and how it treats their own people

But unfortunately our people are ill minded and oppose Islam rather than following it.","9","1","0"
"1768461327-68","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","WHY THIS MOVIE IS FABULOUS","","9","1","0"
"1768461327-69","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","A Reflection of Inner Strength","A Reflection of Inner Strength
Haq celebrates the power of quiet resilience. It's not about shouting for justice, it's about standing firm in truth. Yami Gautam's portrayal of Shazia is one of the most graceful performances I've seen in a long time. Emraan Hashmi's controlled emotions add richness to the narrative. The film's tone is calm, almost meditative, yet the emotions are intense. It's a reminder that strength doesn't always roar - sometimes, it simply endures.","10","1","1"
"1768461327-70","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Propaganda against Islam. Purely politically motivated and malicious.","Haq presents itself as a courtroom drama rooted in justice, women's rights, and constitutional values. However, beneath its emotional storytelling and polished performances lies a narrative that many viewers perceive as politically motivated and selectively constructed, raising serious concerns about the spread of disinformation through cinema.

The film claims to be inspired by real events, yet it simplifies and reshapes complex historical, legal, and social realities to fit a predetermined ideological framework. By isolating specific aspects of the case it draws from, Haq creates a one-sided moral narrative, presenting certain communities and traditions as inherently regressive while positioning the state and judiciary as unquestionable saviors. This selective framing blurs the line between storytelling and political messaging.

What makes Haq particularly problematic is how it packages opinion as fact. Nuanced debates around personal law, constitutional interpretation, and historical context are reduced to emotionally charged courtroom speeches designed to provoke outrage rather than understanding. In doing so, the film risks misleading audiences who may not be familiar with the real complexities of the case, effectively spreading simplified or distorted interpretations under the guise of social reform.

The timing of the film's release and its promotional narrative further amplify suspicions of political intent. Instead of encouraging informed discussion, Haq appears to capitalize on existing social tensions, reinforcing popular political talking points rather than challenging them. Social media discourse around the film shows how quickly its narrative was absorbed into polarized debates, often detached from factual accuracy.

While Haq succeeds as a dramatic film with strong performances, its broader impact is troubling. Cinema has immense power to shape public opinion, and when that power is used to advance motivated narratives and partial truths, it becomes a vehicle for disinformation rather than dialogue. Haq ultimately serves as a reminder that not all ""issue-based"" cinema is neutral - and viewers must watch such films with critical awareness, not blind acceptance.","1","2","8"
"1768461327-71","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Amazing","Very well written. The movie shows the truth and direction and acting ids great. A gripping story with brilliant performances and stunning visuals. The pacing keeps you hooked till the end, blending emotion, drama, and suspense perfectly-an unforgettable cinematic experience. Amazing and just wonderful.","10","1","1"
"1768461327-72","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Please go and watch","","10","1","1"
"1768461327-73","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Deeply Reflective Storytelling","What I loved most about Haq is how reflective it feels. It makes you think about justice, compassion, and courage in the most human way. Yami Gautam brings emotional clarity to every scene she's in. Emraan Hashmi's understated performance gives the story moral grounding. The dialogues are thoughtful, never overbearing. It's a film that quietly invites you to look inward.","10","1","1"
"1768461327-74","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Grace, Grit, and Greatness Combined","What a graceful film Haq is. It's emotional without being sentimental, intense without being loud. Yami Gautam is magnetic, her screen presence commanding attention even in stillness. Emraan Hashmi's subtlety gives the film its emotional foundation. The cinematography captures beauty in everyday realism. Together, it's a perfect combination of grace, grit, and greatness.","10","1","1"
"1768461327-75","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","When Heart Meets Purpose","Every once in a while, a film reminds you why stories matter - Haq is that film. Yami Gautam gives a performance straight from the heart, filled with emotion and depth. Emraan Hashmi's portrayal adds meaning and weight to every scene. The writing feels purposeful, the direction restraineqd and elegant. Together, they create something quietly extraordinary.","10","1","1"
"1768461327-76","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","An Intimate Journey of Truth","An Intimate Journey of Truth
Haq doesn't try to be larger than life; instead, it becomes life itself. Every emotion feels personal, every moment truthful. Yami Gautam's performance is intimate and grounded, a perfect blend of strength and grace. Emraan Hashmi's portrayal complements her beautifully, his presence steady and soulful. The storytelling feels handcrafted, each scene filled with compassion. It's an intimate journey that resonates deeply.","10","1","1"
"1768461327-77","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Truth in Every Frame","You can tell Haq comes from a place of truth. Every shot, every expression feels deliberate and meaningful. Yami Gautam's performance anchors the film with sincerity and depth. Emraan Hashmi's portrayal of internal struggle feels real and relatable. The cinematography is intimate, almost documentary-like. It's a film that captures humanity in its purest, most vulnerable form.","10","1","1"
"1768461327-78","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","A Cinematic Mirror to Society","This movie doesn't just tell a story; it reflects one. Watching it, I couldn't help but think of countless women who never made it to courtrooms or headlines. Haq gives voice to their silent struggles without turning into propaganda. The writing is sensitive, the direction assured, the performances emotionally grounded. Emraan's conflicted expressions say more than a page of dialogue ever could. It's cinema with conscience and heart, and that's a rare combination today. This movie doesn't just tell a story; it reflects one. Watching it, I couldn't help but think of countless women who never made it to courtrooms or headlines. Haq gives voice to their silent struggles without turning into propaganda. The writing is sensitive, the direction assured, the performances emotionally grounded. Emraan's conflicted expressions say more than a page of dialogue ever could. It's cinema with conscience and heart, and that's a rare combination today.","10","1","1"
"1768461327-79","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","A Rare Mix of Power and Poise Haq manages","A Rare Mix of Power and Poise
Haq manages to be both emotional and intellectual at once. It's rare to find a film that respects faith while also questioning injustice. The dialogues are crisp, the emotions layered, the moral questions haunting. Emraan gives one of his most restrained performances here. I walked out feeling deeply moved and proud of Indian storytelling.","10","1","1"
"1768461327-80","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","When silence breaks the law","Been waiting for its OTT release and it truly delivered. Strong performances, sharp direction, and honesty in storytelling. Watching women struggle after divorce due to financial neglect and misuse of rights hits quietly but hard. This is the kind of cinema the youth needs. Powerful. 10/10. 🎬🔥
Relevant, brave, necessary, uncomfortable, timely, honest, bold, unforgettable.","10","1","1"
"1768461327-81","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Emotion That Echoes Beyond the Screen","When a film like Haq ends, it doesn't truly end - it echoes. Yami Gautam's portrayal stays in your mind, her emotions too genuine to forget. Emraan Hashmi adds balance and empathy, turning every scene into a conversation about humanity. The film's rhythm is calm, but its heart beats strong. It's not a movie made to impress, it's made to connect.","10","1","1"
"1768461327-82","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","A Rare Mix of Power and Poise","Haq manages to be both emotional and intellectual at once. It's rare to find a film that respects faith while also questioning injustice. The dialogues are crisp, the emotions layered, the moral questions haunting. Emraan gives one of his most restrained performances here. I walked out feeling deeply moved and proud of Indian storytelling.","10","1","1"
"1768461327-83","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Must watch movie","Just watched Haq, and honestly, what a powerful film! 🎬
The story, the emotions, everything felt so real and impactful.

But the real gem is Yami Gautam - what a fabulous actress! She absolutely nailed every scene with such grace and strength.

This movie isn't just entertainment; it's a strong message about justice and courage.

Highly recommend watching it! 🌟🔥","10","1","1"
"1768461327-84","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Where Law Meets Life","The best thing about Haq is how real it feels. Every courtroom scene, every emotional breakdown feels grounded in truth. The dialogues are neither dramatic nor dull; they carry the rhythm of real conversation. Yami Gautam carries the film with stunning simplicity, and Emraan's subtle shifts of expression say everything about guilt and understanding. The director deserves immense credit for balancing sensitivity with storytelling. It's a film that humanizes justice rather than glorifying it.","10","1","1"
"1768461327-85","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","A Quietly Powerful Narrative","Haq has a way of drawing you in quietly. There's no rush, no unnecessary dramatization, just raw storytelling. Yami Gautam gives a deeply internal performance, one that reveals more with silence than speech. Emraan Hashmi's steadiness adds emotional gravity to the plot. The film's tone remains gentle yet impactful. It's a powerful reminder that simplicity, when done right, is unforgettable.","10","1","1"
"1768461327-86","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","The Strength of Truth","At its core, Haq is a film about truth - how difficult it is to speak it, and how powerful it becomes once spoken. Every aspect of the movie feels rooted in conviction. Yami Gautam carries the emotional core effortlessly, her performance radiating strength through silence. Emraan Hashmi matches her sincerity with depth and restraint. The film's pace allows you to feel every emotion fully. It's the kind of story that reminds you cinema can still be both beautiful and brave.","10","1","1"
"1768461327-87","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Emotion Rooted in Truth","What stands out about Haq is how authentic it feels from start to finish. The director never tries to manipulate the audience into crying or cheering. Instead, he lays out the story with sensitivity and trust. Yami delivers one of her most honest performances, capturing the vulnerability and strength of a woman finding her voice. Emraan matches her tone perfectly, keeping the conflict complex and believable. Every element - writing, sound, framing - comes together in quiet harmony.","10","1","1"
"1768461327-88","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","A Journey Through Emotion and Courage","From the very first scene, Haq grips you with its emotional honesty. Yami Gautam plays her character with quiet fire, her strength radiating through stillness. Emraan Hashmi's layered performance adds moral weight to the story. The pacing feels meditative but never dull, giving space for meaning to unfold. It's a cinematic journey through pain, courage, and redemption.","10","1","1"
"1768461327-89","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Good topic, very bad dialogue and direction","Very good topic for the movie, but there were no dialogue in court scenes or otherwise. Director had enough time to explain Islam to the audience and explain what different Islamic scriptures say on women law and create awareness amongst the viewers. Instead of that he just focused on unnecessary scenes. All dialogues were useless no strong presence of anyone. Even the final supreme court scene was pathetic. Could have been made like movie Section 375 where each law is clearly explain everything. Could have just read the case and narrated that int he movie, simple. Hopeless work by director. Director hi bekar ho to actors kya karenge.","4","0","2"
"1768461327-90","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Dignity in Every Frame Every frame of Haq carries dignity -","Not just for its characters, but for its audience. It treats viewers like thinkers, not spectators. Yami's performance is powerful without theatrics, a reminder that resilience doesn't always need noise. Emraan plays his role with empathy, finding humanity even in opposition. The writing feels precise and deeply felt, giving the story moral gravity. This film doesn't demand your respect; it earns it.","10","1","1"
"1768461327-91","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Truthful, Tender, and Transformative","Few films manage to be tender and transformative at once - Haq does both. Yami Gautam delivers a performance that feels both delicate and fierce. Emraan Hashmi's character arc is handled with restraint, showing change without words. The music enhances the film's emotional depth without overpowering it. The message is subtle, yet it transforms you as you watch.","10","1","1"
"1768461327-92","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","I recommend this film","","10","1","1"
"1768461327-93","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","The Art of Quiet Storytelling","In a time when most films rely on noise, Haq chooses silence and honesty. That's what makes it so powerful. Yami Gautam's performance is full of quiet rage and dignity, one of her best to date. Emraan Hashmi plays his role with compassion, allowing vulnerability to shine through. The direction is confident yet gentle, never losing focus on the human heart of the story. This is art that speaks softly but truthfully.","10","1","1"
"1768461327-94","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","A Film That Demands Reflection","Haq doesn't rush to entertain you, it invites you to think. The story unfolds at a deliberate pace, allowing emotions to mature rather than explode. The courtroom exchanges are sharp, yet the most memorable moments happen in silence. Yami's performance captures both fear and resolve so delicately that you can't look away. Emraan's conflicted role adds depth to the legal and emotional battles. It's one of those rare films that end, yet keep echoing in your mind long after.","10","1","1"
"1768461327-95","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","A Story That Feels Personal What's beautiful about Haq is how personal it feels,","No matter who you are. It speaks to your sense of justice, empathy, and humanity. Yami Gautam's performance is almost haunting in its authenticity - she makes you feel her silence, her anger, her grace. Emraan Hashmi's nuanced portrayal adds moral tension without turning anyone into a villain. The direction balances pain with hope, never tipping into melodrama. It's a story that stays with you because it feels like it could be yours.","10","1","1"
"1768461327-96","https://www.imdb.com/title/tt36642456/reviews/?ref_=ttrt_sa_3","Twisting truth to serve their own good","The movie claims to advocate justice and women's rights while simultaneously misrepresenting the very principles that protect those rights within the Islamic tradition. It completely portrays a distorted version of Islam that suits the narrative rather than the truth.

Highly propagated movie. Poorly researched on the rulings of triple Talaq and second marriage in islam. Clearly misleads audience in the name of equality without taking any references or context of Quranic verses and quoting caliph and scholars.","1","0","4"
