web_scraper_order,web_scraper_start_url,Rate,Title,review,helpful,not helpful
"1773141764-159","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","9/10","""Jawan: A Cinematic Masterpiece with Shah Rukh Khan's Electrifying Presence""","""Jawan is a cinematic masterpiece that delivers on all fronts. Shah Rukh Khan's presence on screen is electrifying, evoking goosebumps with his exceptional performance. The chemistry between SRK and Nayanthara is pure magic, while Deepika Padukone's portrayal adds a touch of wow-factor. The supporting female cast members shine brightly, enriching the narrative. Atlee's direction proves once again why he's among the best in the industry.

Anirudh's background music is top-notch, enhancing the film's emotional depth. Cinematography in Jawan is a visual treat, a true masterpiece. But what truly stands out is the inspiring story at its core, leaving audiences motivated and moved. Jawan is a must-watch, a perfect blend of talent, storytelling, and inspiration.""","16","8"
"1773141764-160","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","10/10","He is loved, all that matters!","","58","45"
"1773141764-161","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","7/10","Best SRK Mass entertainer","If you're in the mood for an exciting and enjoyable experience, I highly recommend catching Jawan at a nearby cinema. This movie is an excellent example of a well-crafted blockbuster that was made with utmost sincerity in all aspects. The series of thrilling events will keep you on the edge of your seat. When you visit theaters for Hollywood superhero movies or spy thrillers like James Bond or Mission Impossible, you know what to expect. However, if you're looking for a more contemplative movie, you might want to check out another option on an OTT platform.

The movie's director has a clear vision of preserving Indian emotions while telling the story. Shah Rukh Khan portrays stylized characters with good, bad, and ugly traits in this fast-paced film. The background music and songs contribute to the effective Indian way of storytelling, which I believe is another art form that may or may not appeal to Western audiences. I understand some critics and intellectuals prefer a certain type of movie. Indian movies suffered in the last decade by attempting to duplicate Western storytelling styles. This movie unapologetically embraces its commercial approach. If you're looking for a good time at the theatre with your family and friends, go watch it. You won't regret it!","0","0"
"1773141764-162","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","1/10","One of the worst movies I have ever seen","Honestly I have no idea what the hell everyone is so hyped about. No plot at all, the action sucks, I can't even remember any songs and the editing is like it's made in tik tok. Please avoid this garbage.

I fell asleep in the hall because the stakes were absolutely zero in the second half. There is no villain that can even though srk in the movie so where is the tension?

Someone please tell me why the editing in the movies needs to be so jarring. There are like 100 cuts a minute. Let the shot breathe. Let me see the establishing shots and see where the characters are. Absolutely garbage movie.","38","36"
"1773141764-163","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","8/10","A must watch if you're a fan of commercial movies","What a great film with multiple social messages throughout the whole film. Shah Rukh Khan's screen presence was unbelievably classy. Anirudh's background score brought the film to another level.

I felt like the film was a little rushed, everything was pushed quickly especially Nayanthara and SRK's portions (Chaleya). Yes there's definitely a lot of south movies in this film but who cares, it's a commercial masala film, you'd want to enjoy and celebrate watching this one so avoid all negative reviews and bring your family along and enjoy this perfect commercial film in theatres. Atlee has given another blockbuster film for the film industry. I also felt like the climax was too long could've straight away came to the point.

Really was amazed by Atlee's team for giving a Hollywood level Cinematography and action scenes. Overall I enjoyed it very much, 8/10.","50","38"
"1773141764-164","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","7/10","Decent","A strong outing from Atlee, this film nails the essentials: sleek cinematography, punchy BGM, steady pacing, and enough momentum to keep viewers hooked. Jawan follows a man fueled by a personal vendetta to correct societal wrongs while honoring a promise from years ago, ultimately clashing with a fearless, ruthless outlaw who has harmed countless people-a setup the film executes with confidence. The narrative interweaves past and present and delivers what it sets out to do, including one small surprise involving a character from the tribal prologue that lands effectively without feeling like a gimmick.

It isn't flawless-there's room for a higher ceiling-but it works well: an above-average watch for cinephiles and an especially great ride for casual viewers looking for a big, propulsive entertainer.

There's also a crowd-pleasing cameo that fits neatly into the story's late stretch, and the door is left open for a potential continuation with a new mission teased at the end, keeping sequel chatter alive without overpromising.","0","1"
"1773141764-165","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","1/10","Emotional But Typical","With the highly-anticipated release of 'Jawan,' starring Bollywood superstar Shah Rukh Khan, just hours away, excitement among fans has reached its zenith.

Very Cheap Storyline.

Screenplay is not engaging. First half was ingesting, especially interval twist. There are many irrelevant thing, no logic but enjoyable for it's stylish execution.

Second half was stretched a lot, emotional but very routine formula wise presentation, which is not as impactful as Pathaan. There was many masala but if you are not a SRK fan you can not enjoy. If you are one of a neutral audience it's 3 hours torture and pain in the ass.","105","130"
"1773141764-166","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","10/10","JAWAN MEGA BLOCKBUSTER 🔥","JAWAN MEGA BLOCKBUSTER 🔥

""Jawan"" is an electrifying rollercoaster of action and emotion that keeps you on the edge of your seat from start to finish. Shah Rukh Khan's performance is nothing short of phenomenal as he portrays a man determined to make a difference in society. The film's gripping storyline, combined with heart-pounding action sequences, makes it a must-watch for any action-thriller enthusiast. Directorial brilliance and a powerful message about rectifying societal wrongs elevate this film to a whole new level. ""Jawan"" is a thrilling ride that will leave you inspired and thoroughly entertained. Don't miss it!","22","13"
"1773141764-167","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","6/10","Like Every other Atlee story script","With the hype created with SRK , Atlee and musician the movie doesn't live upto expectations and fails to impress. Many say Atlee is amazing writer gives moral in his movies but trust me I have watched many of his movies and they all seems to be same. A father and son who looks exactly like one another and a Villain who had past with heroes father which he wants to avenge. This movie is no different .Old version of SRK tries too hard the accent and feels cheap . Also the story doesn't have proper flow and is very abrupt . So abrupt that you can't imagine and there will be sudden song .Also the morals tried to be shown feels like forced streching and applying fevikwik to bind them. All in all not a great movie . Just another action Atlee movie making money so called blockbuster. Overall a entertainer but not impressive. A one time forgettable watch.","0","2"
"1773141764-168","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","9/10","I was sad the movie ended.","A thorough entertainer. Nothing less is expected of an Atlee movie anyway. SRK is always a pleasure to watch on screen, his screen presence is outstanding. Definitely hated Vijay Sethupathi by the end of the movie, he was that convincing as a villian. Nayanthara is captivating, an exceptional actor. It's a movie about a lot of social causes still manages to capture you throughout with lots of very welcome surprises.

The casting is flawless. I don't want to give any spoilers so I am not elaborating on the exemplary casting.

There are a few very Bollywood moments though eg. How they diagnosed a pregnancy, you'll know what I mean when you watch the movie but even that was funny.

The songs were standard Bollywood masal songs but they could've done better with the songs.

If I am to describe the movie in a single sentence - I was sad the movie ended.","31","21"
"1773141764-169","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","7/10","Combination of a South Indian Industry and SRK!","I had high hopes for this movie as so many amazing people are part of this movie. Atlee, the famous Tamil movie director, Vijay Sethupati, the OG actor from Kollywood, the music by my favourite music director, Anirudh and the movie starring the most loved Indian actor, Shah Rukh Khan. I was sure about the massness and the art level of this movie as it is produced by Red Chillis, and it did make wonders. The movie starts with a bang, by the time you reach the interval, you will be overwhelmed by so many emotional, action and interesting sequences. The second half was comparatively weak as there were many goofs and you want more from the movie just as the first half. But still, it keeps you glued to the seat and SRK creates a wonder on screen by his charisma.","0","0"
"1773141764-170","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","10/10","SRK said ""I am the last of the stars"".. and SRK prove that by #JAW","Once upon a time SRK said that ""I am the last of the stars"".. and SRK prove that by #JAWAN . #AtleeKumar sir what a movie...and Vijay It is the best mass entertainer movie I have ever seen. Movie story, casting and color grading ,BGM everything is perfect. Jawan is a combination of Action, romance , emotion , comedy actually everything that we want in a movie and our SRK fulfil it in His own way. In this 169 minutes there is not a single moment that you feel bore. Don't waste your time just book your tickets and be a part of this MEGA BLOCKBLUSTER MOVIE. And my personal suggestion is that Please carry water bottle Because you need water for 169 minutes glee and shouting.

""Main punya hoon ya paap hoon?... Main bhi aap hoon..."" #JAWANFIRSTDAYFIRSTSHW #SRK.","13","6"
"1773141764-171","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","7/10","Entertaining watch!!","Right of the bat you can understand that this is a 'full of entertainment movie'. It has all the hindi drama masala, including patriotism vibes, a mellow love drama, fight and a light punches to make you crack in the middle. Movie keeps you gripped to the screen for the entertainment part.

Performance wise, deepika, Vijay, sanya, Sunil grover were just absolutely brilliant backed by every other people in the movie. SRK played his part but unpopular opinion is that it is not his best performance.

Story in the movie is for sure lacking and extremely predictable. If you watch bollywood movies, You can just tell what is about to happen as a sequel.

To be honest, It was a great watch at the threater but I'm pretty sure i'd not be as pumped as i was watching it again alone. It is more like a get away from your monotonous life, rather than a stick with you for always movie.

That being said, Watching it with a group of people just with the sense of enjoying your time, the movie is great.

:)","0","0"
"1773141764-172","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","1/10","The movie is not up to the mark","The Movie is quite boring after 15 minutes. Shahrukh's look is copied from a villian of ""Teen Wolf"" TV Series named nogitsune. Even Shahrukh working as a Jawan when he is around 60 now is not up to the mark. It's not even believeable. He should opt to work as a old man now. Double role was a bit surprising but how two guys with same face can have same voice too. I think about this thing as after plastic surgery Indian serial uses this logic of same voice too. Better to watch this movie on some OTT platform rather than in Cinema hall. I regret my decision to watch it on first day. It could be better but I just wasted money.","59","67"
"1773141764-173","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","10/10","Amazing!","Finally After Long waiting SRK is back , like after the Happy new year movie I was disappointed with few movies that wasn't quit at the level of King khan , I am A big fan so I always want him in amazing movie great story telling and in meaningful movies because thats what be meant for so finally here is a movie it is great the action not over animated the CG is balance and overall the movie meets the Shah Rukh s King khan standard, I watched it in Vox Cinema today and I've enjoyed it. I gives this movie a 10+ rating because the movie also got an important message to humanity special to Indian general public which is great according to me.","13","6"
"1773141764-174","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","7/10","MASSY","Year of SRK.

A perfect massy movie by Atlee. Followed the classical trademark of director and excelled in it. Every entry of SRK was fabulous and the whole bunch of crowd were shouting their lungs out. (Although I was slightly disappointed with the South Delhi Crowd....mehh; these guys can't enjoy I think).

Coming to the positive aspects of the movie:
Ohhh SRK, every shot of him was fabulous, be it the entry scene or the little wittu humour. I will never forget the interval block that I have seen in this movie. Oh my God. You can't miss that. SRK excelled in all the roles that he played ( I will not reveal the number of roles as it can be a spoiler for some).

Nayanthara as the other lead portrayed a strong female lead that is rare to see in today's massy movies. She has a good screen presence especially in the first half.

Deepika though have limited role but her expressions and acting deserve special praise.

The supporting female caste is fabulous. Their back stories really made me emotional for moments. I only know the name of Sanya Malhotra among them so will not try to cool to mention them all. But I would say they are the main characters of the movie after SRK.

Red Chilies nailed once again. The VFX work was fabulous. The starting scene looked very eye soothing.

Camerwork deserves extra praise especially for its movements along with the actor.

Social issues that were pointed out were dealt in a very sophisticated and a excellent way. This deserves another applause.

If I point out the negatives, there a quite a few; but it is important to point them:
Vijay Sethupathi; in my opinion he was highly underutilised. He deserved a greater screentime with a better writing. His motives though were made clear, his backstory was not shown properly according to me. The Russian guy angle was wasted. He is such a kind of actor who deserved better writing than this.

Underutilised Anirudh; The BGM was very much but is not at par with Anirudh's potential. Jailer's BGM was much better than this and lifter the movie very well.

Open endings; There were many sub plots that weren't dealt properly. The starting North East one was of great potential if shown. The backstories should be incorporated in a better way to emotionally engage the public in the second half. Although I know movie can't be more long than this, but this is what I feel.

Third Act; Compared to Interval block, third act kind of disappoints the viewer. It was good but it can be made to a different level.

In the end, director Atlee made a wholesome package for everyone. Just enjoy the movie and hoot as much as you can.

Celebrate it.","0","0"
"1773141764-175","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","2/10","a bunch of hogwash!","The so-called ""blockbuster"" Indian Bollywood films seem to fall into neither the comedy nor serious genres. They are often poorly directed, filled with an overabundance of cheaply inserted special effects and excessive slow-motion scenes, which the local audience seems to adore, as if it were a replacement for classic Tom & Jerry cartoons. The flip flop of characters, the over acting of Sharukh khan (as if he is delivering the movie of his lifetime) just go to show how poor the quality of choices have become for a common cinegoer in Bollywood.

This film feels like one of those three-hour-long cartoons, with a thin plot borrowed from Hollywood movies of the 90s. You're better off skipping this one and doing your laundry instead.","4","1"
"1773141764-176","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","10/10","#Jawan First Half- FANTASTIC🔥","#Jawan First Half- FANTASTIC

GREATEST INTERVAL BLOCK EVER FOR A HINDI FILM

Bollywood would now see what south has been experiencing for long..

#Atlee has Delivered what no hindi Masala Director has delivered in 2-3 decades

Fans of #ShahRukhKhan would go crazy.. If second half is equally good then no records would be spared..

#Jawan is a bold cinematic venture by blockbuster director Atlee. Embracing his 'More is More' mantra, Atlee's fifth film, Jawan, showcases heroic protagonists, themes of justice, intense action, grand song sequences, and his signature lavish scale. With plotlines so dense, they could inspire an entire series. Watch the full review by Anupama Chopra here.

#ShahRukhKhan #SRK #Jawan #vijaysethupathi #nayanthara #deepikapadukone #FilmCompanion.","13","6"
"1773141764-177","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","7/10","Nice cinematic experience","Jawaan is a great cinematic experience. If you've missed you're going to miss wholesome cinematic experience.

I would not exaggerate anything as I would write what I have felt in cinema hall.

1. It's a mass movie so if you're going to find logic in it you may get disappointed.

2. It's good to watch on bigger screen as some scenes and characters are shown larger than life.

3. You're going to enjoy it's BGM in Cinema hall.

4. Also some goosebumps and thrill at some point of time in movie.

5. You'll witness Great cinematography in some scenes.

6. You'll find flavor of south movies and if you're fan of south movies then it's must watch.

I have reviewed on the basis of it's cinematic experience not as a whole film otherwise rating may go further low.","0","1"
"1773141764-178","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","9/10","BLOCKBUSTER","This is ShahRukhKhan at his MASSIEST BEST!

MASS ELEVATION

Jawan has everything. From action scenes to dialogues to larger than life sequences.

Message.. Emotions.. Action.

Entertainment delivered King (Khan) Size..

Jawan is Masala Entertainer of highest order which has Style + Substance + Action & Emotions in equal measures.

Jawan is entertaining, engaging, filled with clap-worthy and seeti maar moments,extraordinary action sequences.

A film made to enjoy on big screens only. Loads of SEETI-MAAR moments & enough amount of emotions and humour.

It's a much watch movie for every Indian...","14","7"
"1773141764-179","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","6/10","Not bad","","0","4"
"1773141764-180","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","9/10","Anirudh's BGM and Shahrukh Khan's Magic","Director Atlee deserves immense praise for crafting a wonderful story that keeps you engaged from start to finish. 'The movie' is exceptionally well-executed in terms of quality, cinematography, and screenplay. However, what truly steals the show is the brilliant background music by Anirudh, which adds depth and emotion to every scene.

Shahrukh Khan, as always, delivers a stellar performance, reminding us why he's considered one of the best in the industry. It's puzzling to hear some negative reviews because this film absolutely won my heart. It's a superb blockbuster that shouldn't be missed.","14","7"
"1773141764-181","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","6/10","kinda weird but an alright watch","","0","3"
"1773141764-182","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","1/10","Overhyped a complete waste.","Soon you will get it on some ott platform Netflix
Please save your money and time.

A total waste of time and money.

It did had few good shoots.

But a poor story and script.

Please save your self for this disappointment and over hyped movie.

Not at all worth the money.

Entertainment value- 0
Actions- 6/10
Comedy - 0
Acting - 3/10
Story- 0/10
Logic - no logic
Wait to watch it on OTT

Overall a complete waste of time and movie.

Use your finger and question makers of why making such a nonsensical movie.

Save your money because I couldn't and now I regret.

At least before interval it was going well but after interval it just becomes terrible to watch.","26","26"
"1773141764-183","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","8/10","Come Back of King Khan","After a long time King Khan coming with full package movie, story line is good.........

Visually jawan is an absolute feast for the eyes. The cinematography is breathtaking capturing stunning landscapes and intricate details with precision. The use of color palettes and lighting enhances the mood and atmosphere immersing the audience into the world of the film. From elaborate set designs to seamless visual effects every frame is a visual spectacle.

Definitely a must watch movie, but if you have seen the Money Heist webseries then you will remember it again and again while watching this movie.","7","2"
"1773141764-184","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","7/10","An absolute entertainment","A perfect example of a stress buster movie which might be far from reality but did not fail to speak about societal evils in a simplistic way that can reach the mass and not just a niche of society.

It was a culmination and product of star studded cast, fast paced plot, amazing action sequences, peak cinematography and editing; along with OUT OF THE WORLD Background score and dance numbers. Although I would say the age rating should be changed and there should be warning sign as a lot of scenes are very graphically depicted in the movie which I felt is not suitable for certain age group that I found in theatre.

There are references from popular movie culture to hit the right spots of nostalgia and laughter.

Overall it's a go to one time watch with friends to feel the rush and enjoy the craftmanship of the movie.","0","0"
"1773141764-185","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","1/10","Absurd Story , Horrible Acting , Just VFX and Unrealistic Action Nothing else","Please leave your brain and login at home while watching this movie. Only die hard fan of Sharukh will love it and they have given higher rating , but if you want to watch a good movie , Please spare this and watch something else. Sorry I could not stand this movie. No logic , no story , just some random action ( Very Unrealistic ) some songs and that's all. A crude fantasy that you only can imagine when very high.

Only thing I find commendable in this movie is How Sharukh Khan maintained his fitness even at the age of 57, His hard work clearly shows on maintaining his physique, except that nothing is there worth mentioning or to recommend someone to watch it. Bogus movie avoid at any cost and save your money to watch something worthy.","28","29"
"1773141764-186","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","9/10","Daddy Srk With Cigar & Belt Is The Hardest Cinematic Moment In The History Of Cinema.","It took us so long to see SRK in an unabashedly mass avatar and who better than a director from south to achieve that. SRK is having the time of his life here. Props to Vikram Rathore character especially. He eats the character alive. His mannerisms, voice modulation is almost pitch perfect playing both roles

Nayan has terrific screen presence and she gets to kick some ass too.

Deepika's portions are what takes the movie to an emotional crescendo. She nails it

The girl gang is good. Wish they had more to do especially the climax. Atlee missed a trick there.

Vijay Setupathi does well and provides a perfect foil to SRK. He is a hoot in the last 20 minutes

Anirudh's BGM is outstanding. From first frame till the final shot it gives you goosebumps.

Finally star of the show, Atlee. Many have failed to match SRK's undeniable charisma with a proper story but here he gets it right. He is a master of emotions and he gets to do that aplenty here.

If you want a proper entertainer with no to so subtle messaging, Jawan is the perfect getaway.","7","2"
"1773141764-187","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","7/10","King Khan Chaos Energy","The giants of Bollywood haven't had great outings for their movies which were released in the last few years. SRK did manage to get a long overdue blockbuster with Pathaan early this year but the 'spy universe' promotion and 'bhai' appearance had a lot to do with it. I personally didn't like Pathaan as much but I was definitely excited for Jawan looking at its prevue and posters. I haven't been a great fan of Atlee movies except for the mass moments but the concept of SRK working with a South Indian director excited me considering SRK is one of the few actors in Bollywood who can produce epic mass moments.

Jawan starts off brilliantly with a very good introduction to SRK in terms of visuals and background score. The movie then goes to introduce different characters and their backstories along with the main plot (or it makes you think so). The movie is exceptionally fast paced until the interval block and is enjoyable despite most of us trying to make a sense of it. There is a very good interval block which does remind of many South Indian mass movies. Post interval, the movie turns into a chaotic ride and editing is not up to the mark at times. It is kind of hard to figure out what is the actual plot and the intention of the lead character(s). The main flashback episode has multiple layers to it and it goes too fast to be comprehended. The rivalry with the antagonist doesn't seem convincing enough as we get towards the climax. I personally felt there was one major character arc and flashback episode which could have been utilized much better but they end up showing those parts too fast. The songs are pretty good and also shortened in the movie but they do feel out of place in this fast paced action movie. Comedy is very organic and also works better for the ones who would understand SRK's style of wit. Action sequences are done well (not too over the top) and the movie has many close up shots. Anirudh shines again with his background score but the jaw dropping King Khan rap from Raja Kumari isn't used enough for effect. When the movie ends it feels like you have watched 4-5 different movies. Despite all the flaws the movie does keep its fun element intact and provides us with some of the best SRK moments after years.

Shah Rukh Khan not only runs the show, but is the show. He is not only in the driver's seat but he is the engine of this movie. You can clearly see that certain over the top scenes/dialogues work because of his charm and not many actors could pull that off. This is one of his best performances in recent times. The movie does boast of some great supporting cast but the main ones Nayantara and Vijay Sethupathi do not really make a huge impact. Sethupathi as antagonist gives his best but his character offers nothing new or exciting. Priya Mani and Ridhi Dogra play short but significant characters and they fit very well into their roles. Deepika and SRK bring the 2007 Om Shanti Om vibes back at times and it is surprising to see them look almost the same 15 years after. There is not much to say about the rest of the supporting cast as the movie keeps moving on too quickly.

Jawan is a chaotic celebration of SRK's charm meeting the South Indian masala way of filmmaking. Throw the logic out of the window just how SRK does with the goons and enjoy in theatres with the people of same energy around you.","0","1"
"1773141764-188","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","8/10","SRK's audition to play Wolverine","An unknown man and his team of female operatives create mayhem and disrupt the natural order of corruption in the Indian government. As the police try to track down these unknown assailants and learn who they are, the court of public opinion becomes more enthralled and supportive of them. All anyone knows about the leader is his name, Vikram Rathore, and his true motives are revealed with each of his heists. Are he and his comrades terrorists or fighting for the people?

This action-packed movie focuses on many current social issues in India. The story is solid; it is an excellent blend of action, emotions, and even a bit of comedy. The one part of the story that could be cut is the romance aspect. The story progresses smoothly and has no significant plotholes, even with the many twists. The action is executed perfectly, with everything an excellent action movie requires: fight sequences, car chases, heists, and explosions. Along with a great story, the soundtrack to this movie is solid, with an equal number of upbeat songs and slow melodies. This is a great movie to catch in theaters or stream on Netflix.","7","2"
"1773141764-189","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","6/10","Overrated","Jawan is going to be highest grosser In Bollywood. Due to craze of Shahrukh khan and intelligent marketing done. But I find this movie is overrated. It's like typical south indian masala movie. Movie and the script is fast paced but there is no space given for the character development. Hence we can't connect emotionally to the characters. Instead of giving time to character development they have added senseless songs. 3 songs have nothing to with script and could have been avoided.

Editing is not up to the mark could be better. Songs are ok background score is amazing. Background music is truly best part of the movie.

Overall one time watch.","0","2"
"1773141764-190","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","9/10","Bollywood ko Hath lagaane se pehle SRK se baat kar","Jawan is not just mass but it is perfect combination of Class with Mass. It presented some problems faced by our country which includes High loans on Farmers, condition of government hospitals, Presence of hazardous factories in residential area of underprivileged population etc. In a wonderful way.

Director Atlee made sure that we are not just visualising SRK on 70mm big screen but he has given chance to all fans of SRK to celebrate him in mass. In other words I can say that the combination of SRK-Atlee has redefined mass cinema. Apart from SRK , Nayanthara was excellent. It was treat to watch her in action packed role. Priya mani, Santa Malhotra, Sanjeeta Bhattacharya, Leher Khan and Sunil Grover has done complete justice with their character.

If you want to save yourself from lifetime regret, please make sure to celebrate Jawan in your nearest theatre. Please dnt wait for it to come on OTT as Jawan deserves to be celebrated in theatre 😊","7","2"
"1773141764-191","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","7/10","SRK and Atlee and nostalgia from amitabh backhand Peak days","If you remember the masala movies that amitabh bachan acted in the 90s , then jawan is a mould of those films.

SrK looks and acts terrific. Credit must be given to his attempts to reinvent himself. It is a better movie compared to pathaan but still if you are expecting a movie like mission impossible or even the recent south hits like pushpa or vikra. , then you may he disappointed.

I do think that SRK is moving in the right direction chosing movies that can show his versatility rather than being stuck with Karan Johars movies in his prime
I was a fan of amitabh bachans aura and SRK is close to matching that in jawan. I just hope that someone like rajamouli makes a movie that showcases srks talent before it is too late.

The women actors have a small role but impactful. Nayanthara and deepika are good but this is a SRK film and so everyone else is reduced to a supporting role. Vijay Sethupati is awesome in his limited screen presence. We hope to see more of him. The storyline is good but there are some scenes which don't make sense
This is more a akhree rasta or a shahenshah style movie than a mission impossible. Attlee has done better than any other director in presenting srk in an action role. So take a popcorn and drink and enjoy SRKs charisma as you don't know if and when someone will give a movie which challenges mission impossible type blockbuster with srk.","0","2"
"1773141764-192","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","10/10","Out and out Outstanding movie","It's an out and out Outstanding movie
This man has done it again
For haters please be positive in life please check your pockets before you show negativity to a person who has achieved everything in life. You cannot change what God has scripted for him.

Be someone then do what you feel like.

Jawan carries all the emotions which can be related by a common man.

Its truly phenomenal to watch such a story where you can relate yourself.

You see yourself in this movie and I Did.

I believe instead of waiting for pirated version go watch at theatres near you.

Absolutely this year belongs to shahrukh.","16","9"
"1773141764-193","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","7/10","A MASSY ""SRK"" ACTION THRILLER!","Keeping the philosophy of the movie aside for a moment, the movie is a pure Mass action thriller. The opening scene, the pre-interval scene, the bike chase - all of the action sequences were absolutely terrific. Plus the BGM is like cherry on top of the cake. At some points, it also reminded me of money heist. Reason why i say to keep the philosophy aside is because some things portrayed are false. People who don't have basic knowledge of taxation system, the armed forces, NPAs, debt-waiver etc. Will easily get carried away because of the ""emotional"" factor the movie brings along with these topics. So, watch it only for the action sequences, badass dialogues and BGM. Can't wait for it's sequel because hints are clearly dropped. Love you SRK & Vijay Sethupati sir. And hats off to all the rest of cast & crew!","0","0"
"1773141764-194","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","4/10","The hype isn't real","The city where I live they don't release indian/bollywood films in the cinemas. So I had to wait a long time to watch it on the internet.

Apart from the tsunami of hypes, I think this movie had a lot of potential to become a good one. The story had its' perks, the cast did their best to pull off the characters they were given to perform but I think the editing and screenplay ruined it.

As a serial film consumer I don't keep a lot of bollywood movies on my watchlist but since the social media went crazy over this one I had to really spend almost 3 hours to watch this one. And after finishing it I had just one thought in my mind. What went wrong that they couldn't make me feel connected to any characters in 3 hours? I didn't feel joy/sorrow/anger none whatsoever for any characters. They just appear on the screen and some died or went on to do something else. It's all just fun and games and gimmicks of how cool your favorite superstar looks on the screen. And that's IT.

4/10 just for the potential and gimmicks.","2","0"
"1773141764-195","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","10/10","ALL TIME BLOCKBUSTER!🔥","#Jawan is not just a film, It has become a Festival

Be it Rains or Thunder, Theatres are Housefull PUBLIC going crazy ...This is TSUNAMI.

ALL TIME BLOCKBUSTER.

King Khan is back again.

This is not a film but a MASS CINEMA that will be celebrated in Hindi cinema for a long time.

Actions, Dialogues, Acting and pertinent messages for society, everything has been served in full proportions. Do not miss this even on Gun point !

#Atlee rides high on ACTION, EMOTION and plenty of MASS moments. It tick marks ALL BOXES to emerge a BLOCKBUSTER with SRK displaying HEROISM like NEVER BEFORE.

#ATBM.","16","9"
"1773141764-196","https://www.imdb.com/title/tt15354916/reviews/?ref_=tt_ururv_genai_sm","7/10","Overdone Action, Underwhelming Story","This is a film that tries to do too much and ends up doing too little. The plot is derivative, rehashing themes we've seen countless times before without bringing anything new to the table. The heavy-handed sentimentality feels forced, as if the movie is trying to tug at your heartstrings without earning it. And then there's the excessive patriotism, which is laid on so thick it becomes hard to take seriously. The action scenes, while plentiful, often defy logic to the point of absurdity, making it difficult to stay invested. It's a spectacle, sure, but one that's more exhausting than entertaining. If you're looking for substance or originality, ""Jawan"" might leave you disappointed.","0","1"
